#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Danio rerio	7955	PRJNA11776	11776	Animals	Fishes	1411.76	36.9	GCA_000767325.1	-	CABZ01	32031	-	-	2010/05/21	2014/09/24	Scaffold	Genome Reference Consortium	SAMEA3146315
Apis mellifera intermissa	346610	PRJNA230767	230767	Animals	Insects	243.567	31.9	GCA_000819425.1	-	JSUV01	522763	-	-	2015/01/15	2015/12/02	Scaffold	Bee Research Department : National Center for Agricultural Research and Extension	SAMN02437452
Aedes albopictus	7160	PRJNA270274	270274	Animals	Insects	1923.48	40.7	GCA_001444175.2	-	JXUM01	154782	17146	17146	2015/09/29	2016/02/23	Scaffold	BGI	SAMN03265380
Drosophila melanogaster	7227	PRJNA380132	380132	Animals	Insects	144.125	41.878	GCA_002300595.1	chromosome X:CM008268.1; chromosome 2L:CM008269.1; chromosome 2R:CM008270.1; chromosome 3L:CM008271.1; chromosome 3R:CM008272.1; chromosome 4:CM008273.1; mitochondrion MT:CM008274.1	NDWT01	160	-	-	2017/09/13	2017/09/15	Chromosome	University of California, Irvine	SAMN06628317
Anopheles gambiae	7165	PRJNA20301	20301	Animals	Insects	236.403	44.5	GCA_000150785.1	-	ABKQ02	13042	-	-	2008/02/22	2014/08/06	Scaffold	J. Craig Venter Institute	SAMN02953722
Aedes aegypti	7159	PRJNA12434	12434	Animals	Insects	1383.97	38.7998	GCA_000004015.3	mitochondrion MT:EU352212.1	AAGE02	4757	17236	17400	2005/02/11	2014/08/06	Scaffold	TIGR	SAMN02953616
Caenorhabditis elegans	6239	PRJNA275000	275000	Animals	Roundworms	98.3028	35.4305	GCA_000975215.1	chromosome I:CM003206.1; chromosome II:CM003207.1; chromosome III:CM003208.1; chromosome IV:CM003209.1; chromosome V:CM003210.1; chromosome X:CM003211.1; mitochondrion MT:CM003212.1	JZEW01	16	-	-	2015/04/21	2015/04/21	Chromosome	University of Washington	SAMN03334911
Plasmodium vivax	5855	PRJEB14589	347317	Protists	Apicomplexans	28.9953	39.6833	GCA_900093545.1	chromosome 1:LT615239.1; chromosome 2:LT615240.1; chromosome 3:LT615241.1; chromosome 4:LT615242.1; chromosome 5:LT615243.1; chromosome 6:LT615244.1; chromosome 7:LT615245.1; chromosome 8:LT615246.1; chromosome 9:LT615247.1; chromosome 10:LT615248.1; chromosome 11:LT615249.1; chromosome 12:LT615250.1; chromosome 13:LT615251.1; chromosome 14:LT615252.1	FLYH01	374	6499	6077	2016/10/06	2016/10/06	Chromosome	WTSI	SAMEA2155844
Encephalitozoon cuniculi EC3	989655	PRJNA63207	63207	Fungi	Other Fungi	2.2647	46.8	GCA_000221245.2	-	AEWR01	60	-	-	2011/07/22	2014/08/11	Contig	Broad Institute	SAMN02981314
Plasmodium knowlesi strain H	5851	PRJEB9617	352355	Protists	Apicomplexans	24.3599	38.6	GCA_900004885.2	-	CWHQ02	45	5415	5172	2016/07/01	2016/07/01	Contig	KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY	SAMEA3468080
Plasmodium chabaudi adami	5826	PRJEB11993	305111	Protists	Apicomplexans	19.3504	23.5772	GCA_900095565.1	chromosome 1:LT608195.1; chromosome 2:LT608196.1; chromosome 3:LT608197.1; chromosome 4:LT608198.1; chromosome 5:LT608199.1; chromosome 6:LT608200.1; chromosome 7:LT608201.1; chromosome 8:LT608202.1; chromosome 9:LT608203.1; chromosome 10:LT608204.1; chromosome 11:LT608205.1; chromosome 12:LT608206.1; chromosome 13:LT608207.1; chromosome 14:LT608208.1	FMIO01	661	5582	5378	2016/09/20	2016/09/20	Chromosome	WTSI	SAMEA858183
Plasmodium berghei ANKA	5823	PRJEB5710	256943	Protists	Apicomplexans	18.5607	22.2838	GCA_900002375.1	chromosome 1:LK023116.1; chromosome 2:LK023117.1; chromosome 3:LK023118.1; chromosome 4:LK023119.1; chromosome 5:LK023120.1; chromosome 6:LK023121.1; chromosome 7:LK023122.1; chromosome 8:LK023123.1; chromosome 9:LK023124.1; chromosome 10:LK023125.1; chromosome 11:LK023126.1; chromosome 12:LK023127.1; chromosome 13:LK023128.1; chromosome 14:LK023129.1; apicoplast API:LK023130.1; mitochondrion MIT:LK023131.1	-	100	5132	4903	2014/08/27	2015/11/19	Chromosome	WTSI	SAMEA736069
Eimeria tenella	5802	PRJNA364	364	Protists	Apicomplexans	1.38246	49.4	GCA_000002835.1	chromosome 1:AM269894.1	-	2	218	216	2006/06/16	2015/02/27	Chromosome	Sanger Institute	SAMEA3138174
Entamoeba histolytica KU27	885311	PRJNA51233	51233	Protists	Other Protists	15.2721	25.2	GCA_000338855.1	-	AOSC01	1796	7464	7455	2013/02/08	2014/08/06	Scaffold	J. Craig Venter Institute	SAMN02953834
Cryptosporidium parvum	5807	PRJNA253848	253848	Protists	Apicomplexans	9.20331	30.5	GCA_001305335.1	-	LKCJ01	18	-	-	2015/10/01	2015/10/01	Scaffold	Public Health Wales (Microbiology)	SAMN04103911
Plasmodium falciparum 3D7	36329	PRJNA339193	339193	Protists	Apicomplexans	23.265	19.6196	GCA_001715585.1	chromosome 1:CP016991.1; chromosome 2:CP016992.1; chromosome 3:CP016993.1; chromosome 4:CP016994.1; chromosome 5:CP016995.1; chromosome 6:CP016996.1; chromosome 7:CP016997.1; chromosome 8:CP016998.1; chromosome 9:CP016999.1; chromosome 10:CP017000.1; chromosome 11:CP017001.1; chromosome 12:CP017002.1; chromosome 13:CP017003.1; chromosome 14:CP017004.1; mitochondrion MT:CP017005.1	-	15	-	-	2016/08/29	2016/08/29	Chromosome	Jawaharlal Nehru University	SAMN05582950
Toxoplasma gondii GT1	507601	PRJNA16727	16727	Protists	Apicomplexans	65.0622	52.3	GCA_000149715.2	-	AAQM03	1616	8627	8460	2006/05/05	2014/08/06	Scaffold	TIGR	SAMN02953654
Giardia intestinalis ATCC 50581	598745	PRJNA33815	33815	Protists	Other Protists	11.0015	47.3	GCA_000182405.1	-	ACGJ01	2931	4550	4470	2009/07/13	2014/08/06	Contig	Karolinska Institutet	SAMN02953749
Trypanosoma brucei brucei TREU927	185431	PRJNA11756	11756	Protists	Kinetoplasts	26.0755	46.4407	GCA_000002445.1	chromosome 1:NC_008409.1/AL929603.2; chromosome 2:NC_005063.2/AE017150.2; chromosome 3:NC_007276.1/CP000066.1; chromosome 4:NC_007277.1/CP000067.1; chromosome 5:NC_007278.1/CP000068.1; chromosome 6:NC_007279.1/CP000069.1; chromosome 7:NC_007280.1/CP000070.1; chromosome 8:NC_007281.1/CP000071.1; chromosome 9:NC_007282.1/CM000207.1; chromosome 10:NC_007283.1/CM000208.1	-	12	10192	8712	2002/10/07	2014/08/07	Chromosome	Trypanosoma brucei consortium	SAMN02953625
Leishmania major strain SD 75.1	860570	PRJNA50303	50303	Protists	Kinetoplasts	31.2428	59.5	GCA_000250755.2	-	AFZI01	36	-	-	2012/02/28	2014/08/06	Scaffold	WUGSC	SAMN02953800
Trypanosoma cruzi strain Esmeraldo	366581	PRJNA50493	50493	Protists	Kinetoplasts	38.0811	50.6	GCA_000327425.1	-	ANOX01	15803	-	-	2012/12/20	2014/08/04	Scaffold	WUGSC	SAMN00016463
Candida albicans WO-1	294748	PRJNA16373	16373	Fungi	Ascomycetes	14.473	33.506	GCA_000149445.2	chromosome 3:CM000310.1; chromosome 5:CM000311.1; chromosome 6:CM000312.1; chromosome 7:CM000313.1; chromosome R:CM000309.1	AAFO01	17	6101	5752	2006/03/28	2014/08/06	Chromosome	Broad Institute	SAMN02953609
Phanerochaete chrysosporium RP-78	273507	PRJNA135	135	Fungi	Basidiomycetes	29.8426	57	GCA_000167175.1	-	AADS01	1323	-	-	2004/04/29	2014/08/06	Contig	DOE Joint Genome Institute	SAMN02953600
Neurospora crassa	5141	PRJNA250607	250607	Fungi	Ascomycetes	40.4162	48.9	GCA_000786625.1	-	JTEW01	358	12368	11968	2014/11/25	2015/04/15	Scaffold	DOE Joint Genome Institute	SAMN02910426
Aspergillus nidulans FGSC A4	227321	PRJNA130	130	Fungi	Ascomycetes	30.2427	50.3	GCA_000149205.1	-	AACD01	90	9545	9541	2003/04/07	2014/08/06	Scaffold	Broad Institute	SAMN02953587
Glycine max	3847	PRJDB2966	288781	Plants	Land Plants	927.706	34.6	GCA_001269945.2	-	BBNX02	108601	-	-	2015/07/03	2015/07/18	Contig	National Institute of Agrobiological Sciences	SAMD00018961
Aspergillus fumigatus A1163	451804	PRJNA18733	18733	Fungi	Ascomycetes	29.2054	49.5	GCA_000150145.1	-	ABDB01	55	10123	9929	2007/06/26	2014/08/04	Scaffold	J. Craig Venter Institute	SAMN00115744
Zea mays subsp. mays	381124	PRJNA311133	311133	Plants	Land Plants	2133.88	46.7493	GCA_001644905.2	chromosome 1:CM004348.2; chromosome 2:CM004349.2; chromosome 3:CM004350.2; chromosome 4:CM004351.2; chromosome 5:CM004352.2; chromosome 6:CM004353.2; chromosome 7:CM004354.2; chromosome 8:CM004355.2; chromosome 9:CM004356.2; chromosome 10:CM004357.2	LWRW02	191	-	-	2016/05/11	2017/09/08	Chromosome	W22 Sequencing Consortium	SAMN04479043
Hordeum vulgare subsp. vulgare	112509	PRJEB86	179052	Plants	Land Plants	1868.64	44.3	GCA_000326085.1	-	CAJW01	2670738	-	-	2012/10/29	2015/02/01	Scaffold	IPK-Gatersleben	SAMEA2272000
Triticum aestivum	4565	PRJEB7074	264508	Plants	Land Plants	9134.02	40.5	GCA_900000045.1	-	CCYC01	6870110	-	-	2014/11/01	2014/11/01	Scaffold	IPK-Gatersleben	SAMEA2724807
Oryza sativa Indica Group	39946	PRJNA285384	285384	Plants	Land Plants	352.121	43.4619	GCA_001305255.1	chromosome 1:CP012609.1; chromosome 2:CP012610.1; chromosome 3:CP012611.1; chromosome 4:CP012612.1; chromosome 5:CP012613.1; chromosome 6:CP012614.1; chromosome 7:CP012615.1; chromosome 8:CP012616.1; chromosome 9:CP012617.1; chromosome 10:CP012618.1; chromosome 11:CP012619.1; chromosome 12:CP012620.1	-	12	-	-	2015/10/01	2015/10/01	Chromosome	OSMANIA UNIVERSITY	SAMN03751782
Solanum lycopersicum	4081	PRJEB6302	253380	Plants	Land Plants	760.067	34.7605	GCA_900008105.1	chromosome ch01:HG975513.1; chromosome ch02:HG975514.1; chromosome ch03:HG975515.1; chromosome ch04:HG975516.1; chromosome ch05:HG975517.1; chromosome ch06:HG975518.1; chromosome ch07:HG975519.1; chromosome ch08:HG975520.1; chromosome ch09:HG975521.1; chromosome ch10:HG975522.1; chromosome ch11:HG975523.1; chromosome ch12:HG975524.1; chloroplast cp:HG975525.1	-	13	-	-	2014/06/25	2015/03/07	Chromosome	RWTH Aachen	SAMEA3283147
Medicago truncatula	3880	PRJNA368719	368719	Plants	Land Plants	402.065	32.8	GCA_002024945.1	-	MWMB01	909	-	-	2017/03/13	2017/03/13	Scaffold	National Center for Genome Resources	SAMN04571790
Arabidopsis thaliana	3702	PRJNA311266	311266	Plants	Land Plants	118.891	35.8882	GCA_001651475.1	chromosome 1:CM004359.1; chromosome 2:CM004360.1; chromosome 3:CM004361.1; chromosome 4:CM004362.1; chromosome 5:CM004363.1	LUHQ01	30	27158	30837	2016/05/25	2016/05/27	Chromosome	Center for genomic Regulation	SAMN04457953
Saccharomyces cerevisiae	4932	PRJNA282006	282006	Fungi	Ascomycetes	12.0863	38.1473	GCA_001051215.1	chromosome I:CP011547.1; chromosome II:CP011548.1; chromosome III:CP011549.1; chromosome IV:CP011550.1; chromosome V:CP011551.1; chromosome VI:CP011552.1; chromosome VII:CP011553.1; chromosome VIII:CP011554.1; chromosome IX:CP011555.1; chromosome X:CP011556.1; chromosome XI:CP011557.1; chromosome XII:CP011558.1; chromosome XIII:CP011559.1; chromosome XIV:CP011560.1; chromosome XV:CP011561.1; chromosome XVI:CP011562.1; mitochondrion MT:CP011563.1	-	17	-	-	2015/07/09	2015/08/11	Complete Genome	NIEHS	SAMN03565668
Saccharomyces cerevisiae YJM993	1294331	PRJNA189879	189879	Fungi	Ascomycetes	12.502	38.5258	GCA_000662435.1	chromosome I:CP004442.1; chromosome II:CP004601.1; chromosome III:CP006363.1; chromosome IV:CP004692.1; chromosome V:CP004786.1; chromosome VI:CP004922.1; chromosome VII:CP005226.1; chromosome VIII:CP006151.1; chromosome IX:CP005014.1; chromosome X:CP005109.1; chromosome XI:CP005323.1; chromosome XII:CP006467.1; chromosome XIII:CP005424.1; chromosome XIV:CP005526.1; chromosome XV:CP005620.1; chromosome XVI:CP006243.1; plasmid 2 micron:CP004528.1; mitochondrion MT:CP006506.1	-	18	6961	5471	2014/05/01	2015/04/09	Chromosome	Duke University	SAMN01923145
Arabidopsis thaliana	3702	PRJNA30811	30811	Plants	Land Plants	96.5002	36.7	GCA_000222325.1	-	AFNA01	2143	-	-	2011/07/18	2014/08/11	Scaffold	1001genomes	SAMN02981334
Medicago truncatula	3880	PRJNA256006	256006	Plants	Land Plants	427.447	32.5	GCA_002251925.1	-	MLKM01	2368	-	-	2017/08/15	2017/08/15	Scaffold	National Center for Genome Resources	SAMN02401465
Solanum lycopersicum	4081	PRJNA41343	41343	Plants	Land Plants	540.589	34.5	GCA_000181095.1	-	BABP01	100783	-	-	2009/11/06	2015/09/25	Scaffold	Kazusa DNA Research Institute	SAMD00036540
Oryza sativa Indica Group	39946	PRJNA318714	318714	Plants	Land Plants	390.984	43.611	GCA_002151415.1	chromosome 1:CP018157.1; chromosome 2:CP018158.1; chromosome 3:CP018159.1; chromosome 4:CP018160.1; chromosome 5:CP018161.1; chromosome 6:CP018162.1; chromosome 7:CP018163.1; chromosome 8:CP018164.1; chromosome 9:CP018165.1; chromosome 10:CP018166.1; chromosome 11:CP018167.1; chromosome 12:CP018168.1; chloroplast Pltd:CP018170.1; mitochondrion MT:CP018169.1	-	14	-	-	2017/05/04	2017/05/04	Chromosome	Institute of Genetics and Developmental Biology Chinese Academy of Sciences	SAMN04866660
Triticum aestivum	4565	PRJEB11773	308818	Plants	Land Plants	13427.4	43.5	GCA_900067645.1	-	FAOM01	735943	-	-	2016/01/14	2016/01/14	Scaffold	TGAC	SAMEA3663800
Hordeum vulgare subsp. vulgare	112509	PRJEB88	179053	Plants	Land Plants	1779.49	44.9	GCA_000326125.1	-	CAJX01	2077901	-	-	2012/10/29	2015/02/01	Scaffold	IPK-Gatersleben	SAMEA2272683
Zea mays subsp. mays	381124	PRJNA360920	360920	Plants	Land Plants	2455.26	46.8254	GCA_001984235.2	chromosome 1:CM007694.1; chromosome 2:CM007695.1; chromosome 3:CM007696.1; chromosome 4:CM007697.1; chromosome 5:CM007698.1; chromosome 6:CM007699.1; chromosome 7:CM007700.1; chromosome 8:CM007701.1; chromosome 9:CM007702.1; chromosome 10:CM007703.1	MTTA01	60567	-	-	2017/02/03	2017/02/09	Chromosome	Technical University of Munich	SAMN06216638
Aspergillus fumigatus var. RP-2014	1476192	PRJNA237468	237468	Fungi	Ascomycetes	27.3551	50	GCA_000731615.1	-	JHOI01	671	8825	8825	2014/07/18	2014/07/18	Scaffold	Oklahoma State University	SAMN02628958
Candida albicans A123	1182537	PRJNA165033	165033	Fungi	Ascomycetes	14.638	33.5	GCA_000447455.1	-	AVAR01	75	-	-	2013/08/15	2014/08/04	Scaffold	Broad Institute	SAMN00974110
Trypanosoma cruzi JR cl. 4	914063	PRJNA59941	59941	Protists	Kinetoplasts	41.4808	51.2	GCA_000331405.1	-	AODP01	15312	-	-	2013/01/09	2014/08/06	Scaffold	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	SAMN02953827
Leishmania major strain LV39c5	860569	PRJNA50301	50301	Protists	Kinetoplasts	32.3275	59.3	GCA_000331345.1	-	AODR01	849	-	-	2013/01/09	2014/08/04	Scaffold	WUGSC	SAMN01129976
Giardia lamblia P15	658858	PRJNA39315	39315	Protists	Other Protists	11.5221	47.2	GCA_000182665.1	-	ACVC01	820	5150	5007	2010/10/05	2014/08/06	Contig	Karolinska Institutet, Department of Cell and molecular biology	SAMN02953764
Toxoplasma gondii VEG	432359	PRJNA19097	19097	Protists	Apicomplexans	64.5173	52.3	GCA_000150015.2	-	AAYL02	1359	8558	8410	2007/03/26	2013/11/19	Scaffold	TIGR	SAMN01081685
Plasmodium falciparum HB3	137071	PRJNA16340	16340	Protists	Apicomplexans	24.294	20.8933	GCA_000149665.2	mitochondrion MT:DQ642845.1; apicoplast Pltd:DQ642846.1	AANS01	1191	5696	5462	2006/03/27	2015/08/11	Scaffold	Broad Institute	SAMN02953642
Cryptosporidium parvum	5807	PRJNA253843	253843	Protists	Apicomplexans	9.00154	30.3	GCA_001305415.1	-	LKHM01	18	-	-	2015/10/01	2015/10/01	Scaffold	Public Health Wales (Microbiology)	SAMN04088925
Entamoeba histolytica HM-1:IMSS-B	885319	PRJNA51239	51239	Protists	Other Protists	12.7819	27.1	GCA_000344925.1	-	APGH01	1938	6301	6301	2013/03/07	2014/08/06	Scaffold	J. Craig Venter Institute	SAMN02953843
Plasmodium berghei	5821	PRJEB11993	305111	Protists	Apicomplexans	18.8112	22.1227	GCA_900044335.1	chromosome 1:LT160021.1; chromosome 2:LT160022.1; chromosome 3:LT160023.1; chromosome 4:LT160024.1; chromosome 5:LT160025.1; chromosome 6:LT160026.1; chromosome 7:LT160027.1; chromosome 8:LT160028.1; chromosome 9:LT160029.1; chromosome 10:LT160030.1; chromosome 11:LT160031.1; chromosome 12:LT160032.1; chromosome 13:LT160033.1; chromosome 14:LT160034.1	FFUQ01	478	5203	5103	2016/02/10	2016/02/10	Chromosome	WTSI	SAMEA666351
Plasmodium chabaudi chabaudi	31271	PRJEB11993	305111	Protists	Apicomplexans	18.9194	23.7088	GCA_900095605.1	chromosome 1:LT608153.1; chromosome 2:LT608154.1; chromosome 3:LT608155.1; chromosome 4:LT608156.1; chromosome 5:LT608157.1; chromosome 6:LT608158.1; chromosome 7:LT608159.1; chromosome 8:LT608160.1; chromosome 9:LT608161.1; chromosome 10:LT608162.1; chromosome 11:LT608163.1; chromosome 12:LT608164.1; chromosome 13:LT608165.1; chromosome 14:LT608166.1	FMIM01	444	5390	5226	2016/09/20	2016/09/20	Chromosome	WTSI	SAMEA858185
Plasmodium knowlesi strain H	5851	PRJEB9617	352355	Protists	Apicomplexans	23.958	38.6	GCA_900005025.2	-	CWHR02	37	5373	5138	2016/07/01	2016/07/01	Contig	KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY	SAMEA3468082
Encephalitozoon cuniculi EC2	989654	PRJNA63205	63205	Fungi	Other Fungi	2.28123	46.9	GCA_000221265.2	-	AEWQ01	54	-	-	2011/07/22	2014/08/11	Contig	Broad Institute	SAMN02981313
Plasmodium vivax India VII	1077284	PRJNA65119	65119	Protists	Apicomplexans	29.2515	41.5	GCA_000320625.2	-	AFBK01	568	6631	6616	2012/07/25	2015/07/22	Scaffold	Broad Institute	SAMN00710644
Caenorhabditis elegans	6239	PRJEB4373	261621	Animals	Roundworms	101.169	35.8	GCA_000939815.1	-	-	3806	-	-	-	-	Scaffold	WTSI	SAMEA1920834
Aedes aegypti	7159	PRJNA268391	268391	Animals	Insects	744.596	28	GCA_001014885.1	-	JXPU01	223039	-	-	2015/05/28	2015/05/28	Scaffold	UC Berkeley	SAMN03284760
Anopheles gambiae	7165	PRJNA254152	254152	Animals	Insects	293.748	22.4	GCA_001542645.1	mitochondrion MT:CM003708.1	LCWJ01	8000	-	-	2016/01/29	2016/02/02	Contig	Virgina Tech	SAMN02943153
Drosophila melanogaster	7227	PRJNA235897	235897	Animals	Insects	153.282	42.2	GCA_000705575.1	-	JAQD01	5066	-	-	2014/06/12	2014/06/12	Contig	Stanford University	SAMN02588592
Aedes albopictus	7160	PRJNA289460	289460	Animals	Insects	1341.04	40.4	GCA_001574995.1	-	LMAV01	3342920	-	-	2015/12/22	2015/12/22	Contig	Polo Innovazione di Genomica, Genetica e Biologia	SAMN03853745
Danio rerio	7955	PRJEB11588	304582	Animals	Fishes	1442.82	37.1	GCA_001487895.1	-	CZQB01	64482	-	-	2015/12/01	2015/12/09	Scaffold	SC	SAMEA3642453
Homo sapiens	9606	PRJNA19621	19621	Animals	Mammals	2844	40.3433	GCA_000002125.2	chromosome 1:CM000462.1; chromosome 2:CM000463.1; chromosome 3:CM000464.1; chromosome 4:CM000465.1; chromosome 5:CM000466.1; chromosome 6:CM000467.1; chromosome 7:CM000468.1; chromosome 8:CM000469.1; chromosome 9:CM000470.1; chromosome 10:CM000471.1; chromosome 11:CM000472.1; chromosome 12:CM000473.1; chromosome 13:CM000474.1; chromosome 14:CM000475.1; chromosome 15:CM000476.1; chromosome 16:CM000477.1; chromosome 17:CM000478.1; chromosome 18:CM000479.1; chromosome 19:CM000480.1; chromosome 20:CM000481.1; chromosome 21:CM000482.1; chromosome 22:CM000483.1; chromosome X:CM000484.1; chromosome Y:CM000485.1	ABBA01	4530	-	-	2007/05/22	2014/04/25	Chromosome	J. Craig Venter Institute	SAMN02981236
Mus musculus	10090	PRJNA310854	310854	Animals	Mammals	2732.67	42.7637	GCA_001624185.1	chromosome 1:CM003934.1; chromosome 2:CM003935.1; chromosome 3:CM003936.1; chromosome 4:CM003937.1; chromosome 5:CM003938.1; chromosome 6:CM003939.1; chromosome 7:CM003940.1; chromosome 8:CM003941.1; chromosome 9:CM003942.1; chromosome 10:CM003943.1; chromosome 11:CM003944.1; chromosome 12:CM003945.1; chromosome 13:CM003946.1; chromosome 14:CM003947.1; chromosome 15:CM003948.1; chromosome 16:CM003949.1; chromosome 17:CM003950.1; chromosome 18:CM003951.1; chromosome 19:CM003952.1; chromosome X:CM003953.1; mitochondrion MT:CM004179.1	LVXH01	7154	-	-	2016/04/15	2016/04/25	Chromosome	Wellcome Trust Sanger Institute	SAMN04489811
Aspergillus terreus	33178	PRJNA355122	355122	Fungi	Ascomycetes	31.5886	52.2	GCA_001931935.1	-	MSJE01	331	-	-	2017/01/04	2017/01/04	Scaffold	Jet Propulsion Laboratory, California Institute of Technology	SAMN06076679
Fusarium graminearum	5518	PRJEB5475	264630	Fungi	Ascomycetes	38.0479	48.1531	GCA_900044135.1	chromosome 1:HG970332.2; chromosome 2:HG970333.1; chromosome 3:HG970334.1; chromosome 4:HG970335.2; mitochondrion MT:HG970331.1	-	6	28291	14143	2014/10/22	2017/07/07	Chromosome	ROTHAMSTED RESEARCH	SAMEA3283145
Cryptococcus neoformans var. grubii	178876	PRJNA384617	384617	Fungi	Basidiomycetes	18.9146	48.1988	GCA_002216725.1	chromosome 1:CP022321.1; chromosome 2:CP022322.1; chromosome 3:CP022323.1; chromosome 4:CP022324.1; chromosome 5:CP022325.1; chromosome 6:CP022326.1; chromosome 7:CP022327.1; chromosome 8:CP022328.1; chromosome 9:CP022329.1; chromosome 10:CP022330.1; chromosome 11:CP022331.1; chromosome 12:CP022332.1; chromosome 13:CP022333.1; chromosome 14:CP022334.1; mitochondrion MT:CP022335.1	-	15	-	-	2017/07/12	2017/07/12	Chromosome	Washington University in St. Louis	SAMN06704791
Magnaporthe oryzae P131	1143193	PRJNA82693	82693	Fungi	Ascomycetes	37.955	51.4	GCA_000292605.1	-	AHZT01	1822	12713	12713	2012/08/21	2014/08/11	Scaffold	China Agricultural University	SAMN02981399
Saccharomyces kudriavzevii FM1056	1163633	PRJNA42347	42347	Fungi	Ascomycetes	10.0757	42.3	GCA_000256055.1	-	AJHP01	1780	-	-	2012/03/23	2012/04/20	Scaffold	University of Colorado Denver Health Sciences Center	SAMN00829180
Plasmodium yoelii	5861	PRJEB5705	256941	Protists	Apicomplexans	22.0317	22.3826	GCA_900002395.1	chromosome 1:LK934629.1; chromosome 2:LK934630.1; chromosome 3:LK934631.1; chromosome 4:LK934632.1; chromosome 5:LK934633.1; chromosome 6:LK934634.1; chromosome 7:LK934635.1; chromosome 8:LK934636.1; chromosome 9:LK934637.1; chromosome 10:LK934638.1; chromosome 11:LK934639.1; chromosome 12:LK934640.1; chromosome 13:LK934641.1; chromosome 14:LK934642.1; apicoplast API:LK934643.1; mitochondrion MIT:LK934644.1	-	197	5831	5654	2014/08/27	2015/11/19	Chromosome	WTSI	SAMEA655836
Ustilago maydis	5270	PRJNA324064	324064	Fungi	Basidiomycetes	20.2089	53.9	GCA_001662005.1	-	LYZD01	2938	-	-	2016/06/13	2016/06/13	Contig	RWTH Aachen University	SAMN05194381
Rattus norvegicus	10116	PRJNA18695	18695	Animals	Mammals	22.3969	42.5	GCA_000180775.1	-	AAXO01	27472	-	-	2007/04/10	2014/08/11	Contig	STAR - a SNP and haplotype map for the rat	SAMN02981234
Saccharomyces paradoxus	27291	PRJEB7245	261308	Fungi	Ascomycetes	11.8816	38.5049	GCA_002079085.1	chromosome I:CP020259.1; chromosome II:CP020260.1; chromosome III:CP020261.1; chromosome IV:CP020262.1; chromosome V:CP020263.1; chromosome VI:CP020264.1; chromosome VII:CP020265.1; chromosome VIII:CP020266.1; chromosome IX:CP020267.1; chromosome X:CP020268.1; chromosome XI:CP020269.1; chromosome XII:CP020270.1; chromosome XIII:CP020271.1; chromosome XIV:CP020272.1; chromosome XV:CP020273.1; chromosome XVI:CP020274.1; mitochondrion MT:CP020275.1	-	17	-	-	2017/03/21	2017/03/21	Chromosome	SC	SAMEA2757766
Bombyx mori	7091	PRJNA12259	12259	Animals	Insects	381.906	37.4	GCA_000181175.1	-	BAAB01	213265	-	-	2004/04/27	2015/12/22	Contig	International Lepidopteran Genome Project	SAMD00036521
Sus scrofa	9823	PRJNA144099	144099	Animals	Mammals	2508.91	41.9	GCA_000325925.2	-	AJKK01	137577	-	-	2012/11/30	2015/03/18	Scaffold	BGI-shenzhen	SAMN02953814
Ovis aries musimon	9938	PRJNA276576	276576	Animals	Mammals	2589.83	42.4	GCA_000765115.1	-	CBYI01	6173	28073	53571	2014/07/11	2015/01/30	Scaffold	NCBI	SAMEA3146279
Canis lupus familiaris	9615	PRJNA176193	176193	Animals	Mammals	2254.63	40.7	GCA_000331495.1	-	AOCS01	221474	-	-	2013/01/10	2013/11/06	Contig	GlaxoSmithKline	SAMN01737209
Coccidioides posadasii RMSCC 2133	469470	PRJNA17763	17763	Fungi	Ascomycetes	27.9191	47	GCA_000150185.1	-	ABFM01	55	-	-	2007/11/08	2015/07/13	Scaffold	Broad Institute	SAMN02953696
Sorghum bicolor	4558	PRJNA74553	74553	Plants	Land Plants	0.021299	52	GCA_000236745.2	-	AHAP01	35	35	35	2011/12/02	2014/08/11	Contig	BGI	SAMN02981390
[Candida] glabrata	5478	PRJNA374542	374542	Fungi	Ascomycetes	12.7282	38.9031	GCA_002219195.1	chromosome A:CM008095.1; chromosome B:CM008096.1; chromosome C:CM008097.1; chromosome D:CM008098.1; chromosome E:CM008099.1; chromosome F:CM008100.1; chromosome G:CM008101.1; chromosome H:CM008102.1; chromosome I:CM008103.1; chromosome K:CM008104.1; chromosome L:CM008105.1; chromosome M:CM008106.1; mitochondrion MT:CM008107.1	MVOF01	24	5544	5297	2017/07/13	2017/07/14	Chromosome	University of Lausanne	SAMN06328412
Equus caballus	9796	PRJNA353919	353919	Animals	Mammals	1.67317	36.9	GCA_002166905.1	-	MPVR01	2794	-	-	2017/06/05	2017/06/05	Scaffold	Institute of Animal Breeding and Genetics - Vetmeduni Vienna	SAMN06017257
